id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
14005104,JJ460491,2025-10-21T00:00:00.000,076XX S STEWART AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,0621,006,17,69,08B,1174951,1854209,2025,2025-10-28T15:42:01.000,41.755333282,-87.634416632,"{'latitude': '41.755333282', 'longitude': '-87.634416632', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14006578,JJ462336,2025-10-21T00:00:00.000,051XX S WOODLAWN AVE,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,0233,002,5,41,06,1185096,1871275,2025,2025-10-28T15:42:01.000,41.8019317,-87.596702475,"{'latitude': '41.8019317', 'longitude': '-87.596702475', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14004520,JJ459863,2025-10-21T00:00:00.000,019XX S WELLS ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,VEHICLE NON-COMMERCIAL,False,False,0914,009,11,34,07,1175005,1891087,2025,2025-10-28T15:42:01.000,41.856528864,-87.633117677,"{'latitude': '41.856528864', 'longitude': '-87.633117677', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14004391,JJ459718,2025-10-21T00:00:00.000,035XX S RHODES AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True,0212,002,4,35,14,1180172,1881335,2025,2025-10-28T15:42:01.000,41.829651528,-87.614451899,"{'latitude': '41.829651528', 'longitude': '-87.614451899', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14004778,JJ460307,2025-10-21T00:00:00.000,029XX N LAMON AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,2521,025,31,19,11,1143195,1919304,2025,2025-10-28T15:42:01.000,41.93461208,-87.749172906,"{'latitude': '41.93461208', 'longitude': '-87.749172906', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14005491,JJ461066,2025-10-21T00:00:00.000,068XX S CRANDON AVE,1581,SEX OFFENSE,NON-CONSENSUAL DISSEMINATION OF PRIVATE SEXUAL IMAGES,OTHER (SPECIFY),False,False,0331,003,5,43,17,1192503,1860047,2025,2025-10-28T15:42:01.000,41.770943918,-87.569904169,"{'latitude': '41.770943918', 'longitude': '-87.569904169', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14004271,JJ459533,2025-10-21T00:00:00.000,035XX S PARNELL AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,0915,009,11,60,07,1173206,1881542,2025,2025-10-28T15:42:01.000,41.83037667,-87.640003736,"{'latitude': '41.83037667', 'longitude': '-87.640003736', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14006229,JJ461603,2025-10-21T00:00:00.000,103XX S DOTY AVE E,0810,THEFT,OVER $500,STREET,False,False,0434,004,10,51,06,1189757,1836996,2025,2025-10-28T15:42:01.000,41.707756212,-87.580708771,"{'latitude': '41.707756212', 'longitude': '-87.580708771', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14005494,JJ461115,2025-10-21T00:00:00.000,022XX E 75TH ST,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,False,True,0414,004,7,43,08B,1192295,1855670,2025,2025-10-28T15:42:01.000,41.758938155,-87.570808838,"{'latitude': '41.758938155', 'longitude': '-87.570808838', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14005081,JJ460471,2025-10-21T00:00:00.000,075XX S PRAIRIE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE,False,False,0623,006,6,69,07,1179342,1855084,2025,2025-10-28T15:42:01.000,41.757635364,-87.618298216,"{'latitude': '41.757635364', 'longitude': '-87.618298216', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14004760,JJ460197,2025-10-21T00:00:00.000,044XX S KEATING AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,0815,008,22,56,11,1145433,1874844,2025,2025-10-28T15:42:01.000,41.812566265,-87.742073654,"{'latitude': '41.812566265', 'longitude': '-87.742073654', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14004613,JJ459903,2025-10-21T00:00:00.000,0000X E MONROE ST,0820,THEFT,$500 AND UNDER,HOTEL / MOTEL,True,False,0112,001,34,32,06,1176591,1899936,2025,2025-10-28T15:42:01.000,41.880775433,-87.627029031,"{'latitude': '41.880775433', 'longitude': '-87.627029031', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
